"","C001H","C002H","C003H","C004H","C005H","C006H","C007H","C008H","C009H"
"PPIC",931,1064,1391,1275,818,1550,1203,1272,2546
"LOC110259457",0,0,11,0,0,0,4,9,9
"LOC102158973",0,6,9,0,0,0,3,0,0
"PRDM6",11,19,4,26,0,1,8,20,18
"LOC110259778",0,0,0,0,0,0,0,0,0
"CEP120",667,579,472,607,407,435,435,876,814
"CSNK1G3",868,595,834,864,329,751,985,1120,1426
"LOC106509537",0,0,12,0,23,0,2,9,16
"LOC106509539",0,0,7,0,0,0,7,0,0
"LOC102165655",0,9,13,0,20,36,1,0,0
"LOC110259460",0,0,0,0,0,0,4,0,0
"LOC110259462",0,0,5,0,0,0,1,0,0
"ZNF608",33,18,35,0,0,17,42,15,18
"LOC110259696",0,0,6,0,0,0,0,0,0
"LOC106509541",0,0,2,0,0,0,0,0,0
"LOC102158243",0,0,8,0,0,0,21,14,0
"LOC102158429",0,0,6,0,21,0,5,9,0
"GRAMD2B",4828,4416,6915,5041,5062,2788,8540,13387,10076
"ALDH7A1",344,365,535,384,504,330,366,340,594
"PHAX",878,938,981,799,708,922,882,1013,1218
"TEX43",0,0,0,0,0,0,0,12,0
"LMNB1",927,718,595,303,655,539,764,660,1205
"LOC110259464",0,0,0,0,0,0,0,0,0
"LOC106509546",0,0,0,0,0,0,1,0,0
"MARCH3",104,67,54,92,37,83,90,86,77
"LOC106509548",0,8,0,0,0,30,0,0,0
"LOC102161210",28,0,0,0,26,0,9,0,0
"C2H5orf63",377,426,616,353,331,323,416,510,705
"LOC110259466",0,0,0,0,0,0,0,13,11
"MEGF10",0,44,102,75,106,40,13,61,111
"PRRC1",517,428,472,426,514,339,621,552,904
"LOC106509550",13,1,2,0,0,0,1,0,10
"CTXN3",275,207,215,100,131,147,94,146,248
"LOC106509551",0,0,0,14,0,0,0,0,0
"LOC100516424",12,33,76,0,74,38,15,9,23
"SLC12A2",1048,1245,740,546,551,1055,908,628,1033
"LOC102162098",0,7,3,0,0,0,0,0,0
"FBN2",102,156,184,192,128,228,89,110,250
"LOC110259470",0,8,7,0,0,0,0,0,0
"SLC27A6",32,10,18,10,0,1,19,0,32
"ISOC1",365,522,649,259,437,220,447,410,433
"LOC102163451",0,0,0,0,0,0,0,0,0
"LOC110259473",41,84,59,25,28,70,72,64,29
"ADAMTS19",315,268,305,334,83,233,223,318,373
"KIAA1024L",7,13,5,0,0,0,0,12,12
"LOC106509556",0,0,0,0,0,0,0,25,0
"LOC110259474",0,0,0,0,0,0,0,0,0
"CHSY3",51,57,45,112,92,140,78,25,110
"LOC110259475",0,0,5,0,0,0,0,10,0
"LOC110259779",0,0,0,0,0,0,0,0,0
"HINT1",5252,7481,8664,3018,6329,3142,5810,6453,8865
"LYRM7",644,570,453,313,407,313,548,411,558
"CDC42SE2",4,0,0,0,0,0,0,0,0
"LOC110259698",0,13,5,0,0,0,3,0,0
"RAPGEF6",184,222,205,127,151,126,178,231,279
"FNIP1",633,608,414,382,482,403,997,879,501
"MEIKIN",0,0,2,10,0,0,1,0,0
"ACSL6",9,0,2,0,0,23,4,0,8
"LOC110259477",0,12,3,0,0,31,4,7,0
"CSF2",0,0,8,0,26,0,19,0,32
"LOC110259478",9,6,0,0,0,0,0,0,0
"LOC102167059",0,0,0,0,0,0,0,0,0
"LOC110259780",0,0,0,0,9,0,0,0,0
"P4HA2",569,563,1154,800,538,560,641,708,1168
"PDLIM4",175,169,105,138,93,165,114,180,265
"SLC22A4",16,19,27,0,0,0,10,33,3
"LOC102157444",18,0,0,12,0,11,3,0,14
"SLC22A5",4005,3069,2752,4582,2116,2954,3069,5610,3819
"LOC102157791",102,117,23,81,21,34,56,127,104
"LOC110259703",6,0,15,16,0,0,2,0,5
"IRF1",6202,3061,3695,2175,3007,3712,6325,6851,10686
"IL5",14,17,5,56,0,2,12,0,48
"RAD50",582,623,750,709,529,308,641,530,715
"KIF3A",895,611,337,340,481,429,606,795,916
"IL13",0,0,2,0,19,0,4,0,27
"IL4",0,0,9,0,0,0,0,0,0
"CCNI2",22,0,1,9,0,14,17,4,28
"SEPT8",863,627,608,615,454,328,740,1129,1747
"LOC106509563",15,0,4,29,0,0,8,12,0
"SOWAHA",1151,1089,1720,1272,755,519,1849,3233,2207
"SHROOM1",33,46,43,0,27,9,66,91,0
"LOC102159960",0,9,26,8,11,3,5,21,28
"GDF9",32,71,54,31,14,25,35,45,79
"LOC100524308",8597,15069,12429,10945,10247,8162,6738,10502,15801
"LEAP2",0,0,60,0,0,0,0,0,0
"AFF4",1356,916,719,419,791,555,1562,1737,1381
"ZCCHC10",614,789,951,458,792,689,949,911,1022
"HSPA4",2492,1936,1659,1605,1731,1593,2316,2637,4170
"LOC110259479",0,2,3,0,0,0,0,0,0
"FSTL4",0,5,28,31,0,20,19,23,47
"LOC110259480",0,7,6,0,0,0,9,0,7
"C2H5orf15",3272,3068,5199,4931,3702,4763,4524,4467,6093
"VDAC1",3991,2668,3101,2148,3263,1731,3514,4013,6813
"LOC110259481",12,0,2,0,21,6,0,0,14
"TCF7",45,9,70,5,27,4,52,56,105
"SKP1",19593,26484,22917,20577,16664,22578,16370,28433,29682
"PPP2CA",3442,2994,2334,2694,2118,2562,2709,5056,5325
"CDKL3",0,5,19,5,0,10,8,10,0
"UBE2B",6423,9701,8223,9710,6589,6902,7725,13688,11128
"CDKN2AIPNL",1155,1163,1541,1389,690,1384,1253,1357,2003
"JADE2",600,691,969,983,387,151,642,1564,1008
"LOC106507324",0,7,12,0,0,9,8,40,22
"LOC106507323",81,23,46,29,35,49,28,23,31
"SEC24A",1026,1295,1456,1044,1137,1306,1810,1814,1866
"SAR1B",2875,4001,3754,2290,2485,2614,3181,7451,5538
"LOC102164588",124,69,84,69,21,120,67,16,16
"CAMLG",297,172,181,223,177,290,261,180,369
"DDX46",346,471,572,330,419,399,544,546,765
"C2H5orf24",525,668,511,336,366,391,524,654,1082
"LOC102164851",0,0,8,4,0,0,2,0,1
"TXNDC15",1231,870,876,598,613,844,795,943,1109
"PCBD2",718,878,1966,1181,1174,827,983,889,1409
"CATSPER3",0,0,0,0,0,0,0,0,15
"PITX1",269,393,364,238,382,58,245,532,684
"LOC110259486",0,0,0,27,0,0,1,0,0
"LOC106509564",0,0,1,20,0,34,2,0,0
"LOC110259485",73,32,42,80,63,141,38,63,181
"LOC110259488",0,0,5,0,0,0,0,0,0
"H2AFY",964,1000,851,538,713,791,983,1469,2014
"LOC110259487",0,0,8,0,0,0,2,6,0
"LOC110259484",13,2,10,10,43,0,9,0,22
"TIFAB",65,82,108,27,21,92,63,117,116
"NEUROG1",0,0,0,0,0,0,0,0,0
"CXCL14",1665,2229,3258,2246,2484,2410,2607,4206,5151
"SLC25A48",0,0,7,24,0,12,3,12,0
"IL9",5,0,1,0,0,0,0,0,0
"LOC106509567",0,0,5,0,0,0,1,0,0
"LOC100738540",9,10,2,0,0,9,4,11,18
"FBXL21",57,74,75,50,0,56,59,22,101
"LECT2",0,6,8,0,0,0,0,0,0
"LOC106509570",19,8,17,105,0,0,9,86,36
"TGFBI",1076,1463,1401,1090,841,1640,985,1432,2467
"SMAD5",334,253,152,201,246,128,223,215,318
"LOC110259492",0,7,0,0,0,0,0,0,0
"TRPC7",0,6,0,0,47,0,0,0,0
"LOC110259491",0,0,0,0,0,0,0,0,0
"LOC110259493",0,0,0,0,0,0,0,0,0
"LOC110259494",0,0,1,0,0,0,2,0,0
"LOC110259495",0,0,0,10,0,0,0,0,0
"SPOCK1",4,12,21,10,16,9,9,0,49
"LOC110259496",0,0,2,10,0,6,5,13,0
"KLHL3",43,18,0,37,0,68,17,19,7
"MIR874",0,0,0,0,0,0,0,0,0
"HNRNPA0",1129,1401,1404,898,1301,1208,1209,1353,1771
"LOC100517462",0,0,2,0,0,14,1,0,0
"LOC106509573",0,0,0,0,0,0,0,0,0
"MYOT",0,5,17,0,0,15,0,0,0
"LOC110259498",0,0,0,0,0,0,0,0,0
"PKD2L2",0,4,0,10,0,0,0,0,0
"LOC100520183",0,1,0,0,0,0,0,0,0
"FAM13B",440,236,385,123,394,246,400,315,609
"LOC102167109",0,0,0,0,0,0,2,0,0
"WNT8A",0,8,9,0,0,15,0,0,9
"NME5",18,3,7,9,0,17,11,19,0
"LOC110255186",7,10,0,0,0,24,0,0,0
"BRD8",496,799,1010,692,566,334,723,1043,1026
"KIF20A",191,130,136,89,79,190,186,159,282
"CDC23",1,12,8,12,0,34,7,9,0
"GFRA3",0,7,6,2,13,30,7,8,23
"CDC25C",21,19,20,21,20,0,28,28,19
"LOC100515533",0,16,13,0,0,16,1,0,0
"FAM53C",329,150,160,150,86,113,209,406,308
"KDM3B",328,278,373,314,267,172,307,451,594
"REEP2",20,105,58,105,47,49,27,29,74
"EGR1",488,219,233,233,273,141,338,144,324
"LOC106509575",0,0,4,0,0,0,2,15,0
"ETF1",1768,1136,1398,1013,1579,1017,1687,1405,2580
"LOC110259500",65,71,79,20,36,26,47,53,82
"HSPA9",2910,3017,3668,2770,2796,2058,3198,2879,3826
"LOC110259501",0,0,0,0,0,0,0,0,0
"CTNNA1",4315,3946,4028,3313,2223,2261,4327,9141,7456
"LRRTM2",4,4,4,12,0,0,7,9,0
"SIL1",272,242,338,194,131,186,251,248,361
"MIR9820",0,0,0,0,0,0,0,0,0
"MATR3",4999,6196,10465,7638,5458,7086,6328,5311,7037
"PAIP2",1925,1528,1268,1117,1786,1268,1556,2190,2307
"SLC23A1",268,234,242,92,182,295,419,356,773
"LOC110259503",0,0,0,0,0,0,0,0,0
"MZB1",93,405,1751,277,427,365,96,666,652
"PROB1",44,30,36,43,27,17,3,32,21
"SPATA24",37,54,60,89,47,104,84,81,54
"DNAJC18",112,133,144,52,171,145,97,117,125
"ECSCR",122,242,366,492,275,195,256,230,322
"LOC110259781",0,58,31,10,0,0,18,10,7
"TMEM173",73,80,125,17,41,92,67,62,101
"UBE2D2",1630,1845,2185,1715,1791,1407,1788,2338,3156
"CXXC5",127,124,166,143,57,124,168,232,259
"LOC110259504",0,0,9,0,0,38,2,0,16
"LOC110259505",0,0,0,0,0,0,0,21,0
"PSD2",0,15,0,0,0,0,14,9,19
"NRG2",0,4,12,10,0,29,10,25,9
"LOC110259507",0,0,0,0,0,0,5,0,0
"PURA",488,599,792,409,354,505,752,606,622
"IGIP",121,322,252,185,195,394,201,164,263
"CYSTM1",2525,1607,3027,3423,1615,1281,3283,5722,4546
"LOC106509580",3,4,8,4,39,16,10,6,0
"PFDN1",997,691,1002,801,860,625,1042,788,1582
"HBEGF",96,35,168,73,109,99,71,80,185
"LOC110259509",13,43,36,11,35,26,9,0,67
"SLC4A9",0,0,0,15,0,0,5,0,0
"ANKHD1",619,610,593,488,410,366,766,1057,902
"EIF4EBP3",118,184,204,215,89,91,133,258,165
"SRA1",0,0,0,13,0,0,0,0,0
"APBB3",63,58,29,43,39,19,46,19,63
"SLC35A4",427,221,378,189,61,216,319,573,953
"LOC102167522",0,0,0,0,0,0,0,0,0
"LOC100513976",1,0,2,0,0,7,0,3,0
"CD14",150,150,127,33,188,174,262,115,174
"TMCO6",152,83,102,70,44,13,89,87,69
"NDUFA2",8037,14799,11391,8794,10225,5848,7127,10358,14677
"IK",941,909,837,452,671,570,796,1298,1140
"WDR55",132,64,101,79,58,63,130,150,268
"DND1",18,13,12,0,0,11,18,8,46
"HARS",432,401,540,307,283,331,448,432,580
"LOC100521256",357,350,288,104,220,213,326,368,441
"ZMAT2",1166,914,1273,951,1067,918,1051,1273,1801
"LOC100621895",0,0,0,0,0,11,0,0,0
"LOC100621803",0,0,0,0,0,0,0,0,0
"LOC100621701",0,0,6,0,39,19,0,7,0
"LOC110259511",0,0,0,0,0,0,0,0,0
"LOC100738826",0,0,0,0,0,0,0,0,0
"LOC102160218",0,0,7,8,0,0,3,0,13
"PCDHA11",0,0,0,0,0,0,0,0,0
"LOC110259139",0,0,0,0,0,0,0,0,0
"LOC102160959",0,0,0,0,0,0,0,0,0
"LOC102165434",3,0,0,0,0,0,4,0,0
"LOC100521438",0,0,5,0,0,27,0,0,0
"LOC100514339",0,36,9,26,0,0,0,6,9
"LOC110259512",3,21,0,64,0,26,3,4,23
"LOC110259515",3,2,0,0,0,0,0,0,20
"LOC100521779",8,0,9,0,0,20,6,0,0
"LOC100514515",0,0,13,12,53,0,8,0,0
"PCDHB6",0,0,0,0,0,0,2,0,0
"LOC100739498",19,26,14,10,0,17,11,32,30
"LOC110259513",84,130,168,69,14,66,111,121,95
"LOC100737316",112,195,147,75,94,74,150,85,174
"LOC100624174",12,14,17,21,0,50,14,7,0
"LOC106504267",21,21,14,26,0,32,9,17,0
"LOC100523054",6,5,14,23,16,0,9,41,8
"TAF7",1017,943,1696,1249,1084,838,1133,1217,1553
"LOC100515772",8,13,50,17,20,28,0,15,16
"LOC106509588",2,19,17,5,0,7,32,0,29
"LOC110259516",0,0,0,0,0,11,0,0,0
"LOC106509585",0,0,3,0,0,0,0,0,0
"LOC110255294",0,0,0,0,0,0,0,0,0
"LOC100516485",0,7,5,0,0,0,1,0,0
"LOC100516665",7,0,10,0,0,0,2,0,5
"LOC110259519",14,2,6,5,0,0,3,0,0
"LOC110259668",0,0,0,0,0,0,4,0,3
"LOC110259517",0,0,0,0,0,0,4,1,0
"LOC106509590",0,0,1,0,0,0,4,12,0
"LOC110259669",0,0,0,0,0,0,0,11,0
"LOC100737660",0,0,8,38,41,0,2,0,0
"LOC110259670",5,6,2,0,0,2,15,10,5
"LOC110259518",0,3,0,0,0,0,3,0,14
"LOC100736974",176,239,301,184,171,254,307,371,501
"DIAPH1",1353,1525,1910,2516,1264,927,1553,2944,4682
"HDAC3",343,473,268,293,223,244,299,730,946
"RELL2",0,0,1,0,0,0,1,0,0
"FCHSD1",480,285,310,369,174,145,336,618,592
"LOC106509593",0,11,5,0,0,0,1,3,0
"ARAP3",163,57,83,8,129,93,91,135,209
"LOC110259522",11,0,23,0,0,12,4,0,22
"LOC110259521",0,0,0,0,0,0,0,0,0
"PCDH1",1631,2193,1637,3470,930,585,1328,5113,5012
"LOC110259523",0,0,0,0,0,0,0,0,0
"KIAA0141",482,587,767,631,532,228,470,715,810
"PCDH12",7,13,14,65,0,40,8,52,25
"LOC110259524",0,0,0,0,0,0,0,0,20
"RNF14",411,368,460,273,338,170,410,652,940
"LOC110259525",0,22,6,0,0,38,20,0,3
"GNPDA1",465,208,349,207,264,223,480,422,650
"LOC106509594",2,0,2,0,8,0,6,0,0
"LOC106509595",0,11,3,0,0,0,0,11,11
"NDFIP1",2488,2861,4460,2957,2830,2568,2588,3321,5112
"SPRY4",9,25,19,12,60,31,43,47,21
"FGF1",23,46,8,0,0,12,13,24,17
"ARHGAP26",329,277,381,321,175,328,241,1062,948
"LOC102160841",0,0,0,14,35,0,7,0,0
"NR3C1",387,470,578,194,477,574,431,641,627
"LOC110259145",0,0,0,0,0,0,2,0,0
"LOC110259526",0,0,0,0,0,0,0,0,0
"LOC110259527",0,16,2,0,0,10,4,0,0
"YIPF5",1259,1327,1850,1246,1096,1491,1424,1271,2342
"LOC110259671",0,4,0,0,0,10,6,9,0
"KCTD16",0,7,8,14,21,47,9,16,0
"LOC110259529",5,0,5,25,0,0,0,0,0
"PRELID2",108,71,121,36,0,109,70,111,334
"GRXCR2",11,10,18,0,0,0,0,6,0
"LOC110259672",0,0,0,0,0,0,0,0,0
"SH3RF2",182,75,198,265,247,136,149,524,474
"PLAC8L1",0,19,29,24,0,2,5,1,0
"LARS",263,360,442,61,403,330,217,416,413
"RBM27",511,602,784,541,602,705,756,825,915
"POU4F3",0,0,33,0,16,0,1,0,0
"LOC110259782",0,0,0,0,0,0,0,0,0
"TCERG1",317,241,145,105,142,162,218,317,489
"GPR151",0,0,0,0,0,19,0,15,0
"PPP2R2B",6,0,0,0,0,0,8,16,6
"STK32A",119,254,229,101,64,143,143,216,323
"DPYSL3",127,106,89,55,43,92,81,204,117
"LOC110259532",0,8,0,0,0,0,1,0,0
"JAKMIP2",0,3,4,0,0,12,2,0,0
"LOC110259533",0,4,4,0,0,6,0,0,19
"LOC106509599",0,0,0,0,0,0,0,0,0
"SPINK1",499,2386,2890,1237,1547,1325,1212,1654,1494
"SCGB3A2",0,0,0,14,0,0,0,0,0
"C2H5orf46",0,0,0,0,0,0,0,0,0
"SPINK5",0,0,0,0,1,0,0,0,0
"LOC100739218",183,363,436,198,100,230,398,438,618
"SPINK14",0,0,0,0,0,0,0,0,0
"LOC110259534",0,0,0,0,0,0,0,0,0
"LOC110259535",0,0,18,0,0,0,3,0,0
"LOC110259536",0,0,0,0,0,0,0,0,0
"LOC396905",18,24,31,0,0,8,14,12,66
"SPINK13",0,0,16,0,0,11,4,30,3
"SPINK7",0,0,0,0,0,0,0,0,0
"LOC100513074",0,0,0,0,0,0,2,0,11
"FBXO38",267,292,283,91,158,155,253,394,518
"HTR4",12,0,5,0,19,7,13,7,43
"ADRB2",58,28,21,65,19,44,28,17,34
"LOC106509601",2,11,50,12,0,89,0,10,21
"SH3TC2",14,10,17,6,0,0,18,21,31
"ABLIM3",52,55,43,50,77,51,65,63,84
"LOC106509605",14,4,24,0,0,35,10,0,11
"AFAP1L1",32,17,40,1,44,24,18,32,58
"GRPEL2",0,0,0,0,0,0,0,0,0
"IL17B",197,247,461,144,295,291,268,297,436
"PCYOX1L",165,110,179,22,122,130,99,231,324
"LOC100514340",89,32,30,61,149,85,17,45,40
"MIR143",13,0,13,0,0,0,2,0,0
"MIR145",8,6,18,8,65,20,5,43,36
"CSNK1A1",4468,4493,3916,3721,3466,3749,5555,6715,9499
"ARHGEF37",656,475,548,960,641,256,512,902,521
"LOC106509607",122,57,142,110,18,59,111,117,115
"LOC110259538",0,0,0,0,0,0,2,27,0
"LOC106509609",5,1,1,1,0,52,0,0,0
"PPARGC1B",332,249,212,126,93,54,181,270,355
"MIR378-1",0,0,7,0,0,17,0,8,0
"PDE6A",28,0,0,24,0,0,20,17,22
"SLC26A2",3056,1828,1561,2628,1598,944,2117,3727,6855
"HMGXB3",338,351,364,348,186,179,270,689,809
"LOC110259155",5,7,0,0,0,0,4,0,0
"CSF1R",424,323,719,641,355,369,354,673,1239
"PDGFRB",135,143,206,169,105,77,153,424,375
"CDX1",605,342,493,529,692,199,621,1758,2447
"SLC6A7",2,19,5,0,50,0,1,64,53
"LOC110259540",10,15,2,0,0,20,5,5,28
"LOC102162290",0,25,3,0,84,24,1,0,0
"CAMK2A",46,51,58,45,34,29,47,41,44
"TCOF1",186,119,206,152,143,129,225,207,343
"CD74",3964,5083,14823,5870,4870,4603,6268,11860,14573
"RPS14",8562,12559,14745,11750,9278,13797,8433,15982,14964
"NDST1",770,917,747,281,473,229,838,809,774
"LOC110259673",0,0,0,0,0,0,0,0,11
"SYNPO",883,814,1267,1412,348,355,1111,3445,2930
"MYOZ3",0,0,11,0,0,0,4,0,11
"RBM22",429,385,386,307,289,331,415,626,503
"DCTN4",621,677,795,758,602,622,582,896,993
"LOC110259545",0,10,6,0,0,9,5,0,16
"LOC110259674",0,7,10,44,0,0,5,0,0
"SMIM3",260,568,345,340,207,163,430,638,702
"LOC106508271",0,0,4,0,0,0,2,0,0
"ZNF300",123,143,69,28,52,54,111,137,159
"LOC110259546",0,0,0,0,0,0,0,0,0
"LOC110259822",4,6,0,0,0,0,0,0,0
"LOC110259821",0,0,0,0,0,0,3,0,0
"LOC110259823",0,0,0,0,0,0,0,0,0
"LOC110259825",0,0,0,0,0,0,0,0,0
"LOC110259824",0,0,0,0,0,0,0,0,0
"LOC106507337",0,5,19,0,0,19,0,0,8
"FAM20C",100,113,207,102,64,136,150,147,183
"LOC110259820",4,2,10,5,0,0,0,0,7
"LOC110259826",0,19,4,0,0,6,1,0,0
"PDGFA",1114,1314,1258,1133,519,461,802,2427,1573
"PRKAR1B",36,25,35,0,60,35,22,79,77
"DNAAF5",207,186,138,96,65,93,150,72,217
"LOC110259827",0,13,23,4,0,19,9,13,0
"SUN1",1709,1683,1248,1362,1112,1116,1703,2315,3040
"LOC110259828",58,47,69,54,27,86,40,17,80
"GET4",712,847,838,590,567,352,640,1013,1088
"ADAP1",452,281,470,319,210,46,350,342,772
"LOC100522861",214,394,327,254,292,106,255,582,651
"LOC100522669",0,62,1,49,0,0,11,8,46
"C3H7orf50",484,396,366,329,386,243,476,760,942
"MIR339-1",31,17,12,0,0,0,10,46,48
"GPR146",50,195,191,43,102,72,94,161,401
"LOC110259829",4,0,0,0,0,0,1,21,0
"LOC102162791",17,0,12,0,0,0,7,0,6
"GPER1",50,112,440,190,0,55,177,60,1785
"LOC102163231",82,0,1,60,0,6,31,40,0
"ZFAND2A",564,296,101,326,321,187,494,507,1082
"UNCX",0,0,21,27,0,29,2,0,5
"LOC110259830",0,37,30,6,52,42,2,0,0
"LOC106507343",16,0,0,0,0,0,0,0,7
"MICALL2",946,603,727,823,666,305,476,1233,953
"INTS1",688,525,772,517,256,275,411,532,1200
"MAFK",1737,972,922,1818,1018,500,1509,3355,3436
"TMEM184A",196,163,218,91,114,135,159,133,447
"PSMG3",308,272,269,106,223,317,241,256,514
"LOC106507351",2,9,15,0,0,0,0,0,0
"MIR9817",0,0,0,0,0,0,0,0,0
"ELFN1",7,18,9,0,0,0,6,77,34
"LOC110260071",0,0,0,0,0,0,0,0,0
"LOC110259831",0,0,0,0,0,0,0,0,0
"MAD1L1",495,272,939,804,270,420,655,2028,372
"LOC110259832",14,0,4,38,15,44,7,58,23
"LOC106509613",16,8,4,12,0,0,0,0,0
"MRM2",296,648,810,724,289,200,460,542,462
"NUDT1",243,271,300,101,212,97,259,176,381
"SNX8",137,88,156,32,147,75,121,253,355
"EIF3B",472,558,631,344,521,269,694,958,994
"LOC110259833",0,0,0,0,0,0,0,0,0
"LOC110259835",0,0,0,0,0,0,0,27,0
"LOC110259836",0,3,10,0,0,0,0,3,0
"LFNG",189,140,285,226,292,134,243,280,300
"CHST12",26,41,32,37,79,23,41,43,96
"GRIFIN",34,20,39,25,45,35,62,40,43
"LOC110259834",10,0,15,1,0,90,1,0,0
"TTYH3",663,199,386,465,342,287,644,1062,1458
"IQCE",60,50,109,37,64,32,111,66,176
"BRAT1",104,81,141,112,42,5,78,171,166
"AMZ1",4,16,9,0,0,0,13,0,0
"GNA12",237,270,341,367,231,119,376,560,776
"CARD11",16,51,163,45,17,64,66,81,148
"SDK1",82,116,147,116,83,60,78,114,85
"LOC110259838",11,0,0,0,0,0,0,0,0
"LOC102158292",0,0,2,0,27,0,5,0,0
"LOC102159434",0,0,0,0,21,16,8,0,11
"FOXK1",465,455,399,311,296,173,323,549,780
"AP5Z1",864,769,1147,1138,812,262,675,1257,1691
"RADIL",49,2,44,77,0,33,19,51,27
"PAPOLB",4,17,29,8,12,0,13,31,12
"MMD2",87,14,26,0,0,31,2,38,0
"LOC110259839",0,0,0,0,0,0,0,0,0
"LOC100512593",0,0,0,0,0,0,0,0,0
"WIPI2",478,760,502,897,365,353,618,1194,797
"SLC29A4",23,0,29,24,16,18,10,32,95
"TNRC18",1650,1087,1362,998,735,450,1133,3492,2117
"LOC110259840",40,49,11,70,12,16,8,50,3
"LOC110260072",12,10,13,0,0,24,8,29,0
"LOC106509619",15,16,42,0,0,46,9,0,26
"FBXL18",96,152,135,95,30,160,95,235,395
"ACTB",60248,54677,65648,75884,63340,63978,78496,95309,140373
"LOC106509620",17,13,17,0,0,26,6,11,48
"LOC102161175",6,0,9,0,0,0,2,7,0
"LOC106509624",0,20,18,0,19,0,0,0,0
"FSCN1",103,224,227,164,245,169,148,314,418
"RNF216",109,74,74,82,83,87,102,128,245
"LOC106509622",7,9,2,0,0,26,2,0,0
"LOC100520903",58,65,80,43,13,86,40,30,40
"LOC110259841",8,0,0,0,0,0,0,0,0
"LOC106509013",0,0,0,0,0,0,0,0,0
"LOC100738112",0,12,6,13,0,28,3,0,35
"RBAK",115,138,91,43,70,100,181,103,189
"LOC100520556",0,0,0,0,0,0,0,0,0
"ZNF12",102,58,47,52,20,51,67,59,55
"LOC102160627",22,10,5,0,5,52,7,2,50
"ZNF316",65,84,68,37,43,95,76,103,119
"ZNF853",44,25,36,35,0,30,32,43,35
"C3H7orf26",396,318,373,222,214,83,269,509,802
"ZDHHC4",230,360,254,142,346,200,172,334,499
"LOC110259843",0,0,0,0,0,0,2,5,3
"GRID2IP",13,0,1,0,0,27,0,0,24
"KDELR2",2232,2203,2269,2085,1920,1876,2680,4087,5265
"DAGLB",135,96,117,80,249,28,122,152,234
"RAC1",7380,6010,7125,6356,4942,4198,9003,14314,14274
"LOC110260073",1063,645,388,551,571,585,1060,1777,1813
"CYTH3",283,269,262,251,159,262,233,250,319
"USP42",193,221,224,258,68,160,232,228,341
"EIF2AK1",1500,700,678,1008,178,483,622,2257,1834
"ANKRD61",19,0,25,0,0,73,5,0,43
"AIMP2",2,8,7,10,0,0,3,10,10
"PMS2",156,104,151,218,43,194,99,124,145
"LOC100516852",52,9,17,18,19,102,7,59,19
"CCZ1",836,641,722,494,557,509,642,1143,963
"LOC102163639",22,0,8,0,0,0,3,7,8
"LOC100516001",0,0,9,0,0,37,0,16,15
"LOC106509627",0,0,1,0,0,3,0,0,0
"LMTK2",1237,891,585,786,524,251,783,1622,1816
"BHLHA15",11,14,74,27,0,46,11,64,81
"TECPR1",694,229,228,402,313,171,273,512,586
"LOC110259846",0,0,0,0,0,0,0,0,0
"BRI3",1288,1722,4742,3548,1737,1566,2086,2857,3995
"BAIAP2L1",5317,2933,2361,5478,2032,2975,3237,8967,8428
"LOC110259847",201,21,0,159,0,68,45,67,0
"LOC106509631",0,22,13,10,14,5,5,11,17
"LOC106509632",28,17,37,0,21,10,11,37,15
"NPTX2",5,0,10,14,0,16,0,18,0
"LOC110259848",0,0,2,0,0,0,0,0,0
"LOC110260074",0,0,0,0,0,0,0,0,0
"LOC110259849",0,0,0,0,0,0,0,0,0
"TMEM130",23,3,3,0,36,1,2,17,51
"TRRAP",495,448,622,277,301,270,458,404,568
"SMURF1",833,463,436,456,478,212,459,737,894
"KPNA7",0,0,0,0,0,0,0,0,1
"LOC102160349",3,2,12,0,0,63,3,0,0
"LOC110259851",10,6,10,11,0,0,7,0,8
"ARPC1A",4382,4530,5967,4102,2354,2848,4102,8225,8967
"ARPC1B",3931,3585,5904,3616,3536,2800,4977,7652,9525
"PDAP1",1348,688,727,466,903,397,914,1587,1648
"BUD31",553,416,395,341,488,414,519,803,1053
"PTCD1",146,120,99,4,25,31,82,224,172
"CPSF4",343,242,203,158,248,213,230,347,500
"ATP5J2",8172,11507,12157,12837,10669,8540,9176,9245,16643
"LOC100522670",56,29,47,18,47,14,27,61,60
"TRNAW-CCA",0,0,0,0,0,0,0,0,0
"MIR9796",3,0,5,0,0,0,5,0,5
"LOC106509641",7,8,5,0,0,71,0,0,0
"ZKSCAN5",142,145,199,63,130,119,166,174,233
"LOC102167796",0,0,4,0,0,0,2,0,0
"ZNF789",547,232,224,115,208,267,264,307,366
"FAM200A",0,11,47,0,20,3,15,0,0
"ZNF655",404,306,361,283,169,110,211,378,360
"LOC106508762",20,5,18,0,0,30,8,22,0
"LOC110259854",0,5,0,0,0,0,0,0,0
"TMEM225B",0,15,2,25,21,23,6,16,0
"ZSCAN25",220,96,53,0,13,55,57,125,216
"LOC110259855",21,11,30,0,0,45,9,0,0
"LOC110260127",0,0,0,0,0,0,0,0,0
"CYP3A22",10,6,10,0,0,0,1,20,1
"CYP3A46",351,135,67,27,15,55,216,143,196
"CYP3A29",149,324,236,197,117,247,297,415,359
"LOC110259856",7,1,1,0,0,0,3,7,33
"LOC110259858",0,0,0,0,0,0,0,0,0
"LOC110259857",0,0,1,0,0,0,0,0,0
"FOPNL",647,821,815,514,598,577,671,1049,1451
